STATE NAME,Sex,Age,Average Income in 2016-17 ($)
QLD,Female,36,55668
QLD,Female,37,55668
QLD,Female,38,55668
QLD,Female,39,55668
QLD,Female,40,55668
QLD,Female,41,55668
QLD,Female,42,55668
QLD,Female,43,55668
QLD,Female,44,55668
QLD,Unknown,35,71752
QLD,Unknown,36,71752
QLD,Unknown,37,71752
QLD,Unknown,38,71752
QLD,Unknown,39,71752
QLD,Unknown,40,71752
QLD,Unknown,41,71752
QLD,Unknown,42,71752
QLD,Unknown,43,71752
QLD,Unknown,44,71752
QLD,Male,45,93301
QLD,Male,46,93301
QLD,Male,47,93301
QLD,Male,48,93301
QLD,Male,49,93301
QLD,Male,50,93301
QLD,Male,51,93301
QLD,Male,52,93301
QLD,Male,53,93301
QLD,Male,54,93301
QLD,Female,45,58635
QLD,Female,46,58635
QLD,Female,47,58635
QLD,Female,48,58635
QLD,Female,49,58635
QLD,Female,50,58635
QLD,Female,51,58635
QLD,Female,52,58635
QLD,Female,53,58635
QLD,Female,54,58635
OLD,Unknown,45,75878
OLD,Unknown,46,75878
OLD,Unknown,47,75878
OLD,Unknown,48,75878
OLD,Unknown,49,75878
OLD,Unknown,50,75878
OLD,Unknown,51,75878
OLD,Unknown,52,75878
OLD,Unknown,53,75878
OLD,Unknown,54,75878
QLD,Male,55,82777
QLD,Male,56,82777
QLD,Male,57,82777
QLD,Male,58,82777
QLD,Male,59,82777
QLD,Male,60,82777
QLD,Male,61,82777
QLD,Male,62,82777
QLD,Male,63,82777
QLD,Male,64,82777
QLD,Female,55,54006
QLD,Female,56,54006
QLD,Female,57,54006
QLD,Female,58,54006
QLD,Female,59,54006
QLD,Female,60,54006
QLD,Female,61,54006
QLD,Female,62,54006
QLD,Female,63,54006
QLD,Female,64,54006
OLD,Unknown,55,68610
OLD,Unknown,56,68610
OLD,Unknown,57,68610
OLD,Unknown,58,68610
OLD,Unknown,59,68610
OLD,Unknown,60,68610
OLD,Unknown,61,68610
OLD,Unknown,62,68610
OLD,Unknown,63,68610
OLD,Unknown,64,68610
QLD,Male,65,54594
QLD,Male,66,54594
QLD,Male,67,54594
QLD,Male,68,54594
QLD,Male,69,54594
QLD,Male,70,54594
